no,kingdom,eu_name,language,common_name
32,Plantae,Elodea nuttallii (Planch.) H. St. John,French,élodée de Nuttall
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,French,Rhubarbe géante du Chili
34,Plantae,Heracleum mantegazzianum Sommier & Levier,French,Berce de Mantegazzi
34,Plantae,Heracleum mantegazzianum Sommier & Levier,French,Berce du Caucase
35,Plantae,Heracleum persicum Fischer,French,Berce de Perse
36,Plantae,Heracleum sosnowskyi Mandenova,French,Berce de Sosnowsky
37,Plantae,Hydrocotyle ranunculoides L. f.,French,Hydrocotyle à feuilles de renoncule
37,Plantae,Hydrocotyle ranunculoides L. f.,French,Hydrocotyle fausse- renoncule
38,Plantae,Impatiens glandulifera Royle,French,Balsamine de l'Himalaya
38,Plantae,Impatiens glandulifera Royle,French,Impatiente glanduleuse
39,Plantae,Lagarosiphon major (Ridley) Moss,French,Elodée crépue
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,French,Ludwigie à grandes fleurs
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,French,Jussie
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,French,Jussie à petites fleurs
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,French,Jussie rampante
42,Plantae,Lysichiton americanus Hultén and St. John,French,Arum bananier
42,Plantae,Lysichiton americanus Hultén and St. John,French,Faux Arum jaune
42,Plantae,Lysichiton americanus Hultén and St. John,French,Lysichite jaune
42,Plantae,Lysichiton americanus Hultén and St. John,French,Lysichiton américain
42,Plantae,Lysichiton americanus Hultén and St. John,French,Sphaigne des marais jaune
43,Plantae,Microstegium vimineum (Trin.) A.Camus,French,no common name
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,French,Myriophylle aquatique
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,French,Myriophylle du Brésil
45,Plantae,Myriophyllum heterophyllum Michx.,French,Myriophylle hétérophylle
46,Plantae,Parthenium hysterophorus L.,French,Camomie (La Réunion)
46,Plantae,Parthenium hysterophorus L.,French,Camomille balais (La Réunion)
46,Plantae,Parthenium hysterophorus L.,French,Camomille z'oiseaux (La Réunion)
46,Plantae,Parthenium hysterophorus L.,French,Grande camomille
46,Plantae,Parthenium hysterophorus L.,French,Herbe blanche (La Réunion)
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,French,Herbe aux ecouvillons Rouge
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,French,Pennisetum soyeux pourpre 
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),French,Renouée perfoliée
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),French,Vigne japonaise
