no,kingdom,eu_name,language,common_name
11,Animalia,"Ondatra zibethicus (Linnaeus, 1766)",English,Muskrat
12,Animalia,"Orconectes limosus Rafinesque, 1817",English,spinycheek crayfish
13,Animalia,"Orconectes virilis Hagen, 1870",English,virile crayfish
14,Animalia,"Oxyura jamaicensis Gmelin, 1789",English,Ruddy Duck
15,Animalia,"Pacifastacus leniusculus Dana, 1852",English,Signal crayfish
16,Animalia,"Perccottus glenii Dybowski, 1877",English,Amur sleeper
16,Animalia,"Perccottus glenii Dybowski, 1877",English,Chinese sleeper
17,Animalia,"Procambarus clarkii Girard, 1852",English,Red Swamp Crayfish
18,Animalia,"Procambarus fallax (Hagen, 1870) f. virginalis",English,Deceitful Crayfish
19,Animalia,"Procyon lotor Linnaeus, 1758",English,Common raccoon
19,Animalia,"Procyon lotor Linnaeus, 1758",English,Northern Raccoon
19,Animalia,"Procyon lotor Linnaeus, 1758",English,Raccoon
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",English,False razbora
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",English,Stone moroco
20,Animalia,"Pseudorasbora parva Temminck & Schlegel, 1846",English,Topmouth gudgeon
21,Animalia,"Sciurus carolinensis Gmelin, 1788",English,Eastern Gray Squirrel
21,Animalia,"Sciurus carolinensis Gmelin, 1788",English,Grey Squirrel
22,Animalia,"Sciurus niger Linnaeus, 1758",English,Bryant's Fox Squirrel
22,Animalia,"Sciurus niger Linnaeus, 1758",English,Delmarva Fox Squirrel
22,Animalia,"Sciurus niger Linnaeus, 1758",English,Eastern Fox Squirrel
22,Animalia,"Sciurus niger Linnaeus, 1758",English,Fox Squirrel
23,Animalia,"Tamias sibiricus Laxmann, 1769",English,Siberian Chipmunk
24,Animalia,"Threskiornis aethiopicus Latham, 1790",English,African Sacred Ibis
24,Animalia,"Threskiornis aethiopicus Latham, 1790",English,Black-headed Ibis
24,Animalia,"Threskiornis aethiopicus Latham, 1790",English,Madagascar Ibis
24,Animalia,"Threskiornis aethiopicus Latham, 1790",English,Sacred Ibis
24,Animalia,"Threskiornis aethiopicus Latham, 1790",English,White Ibis
25,Animalia,"Trachemys scripta Schoepff, 1792",English, Common Slider
25,Animalia,Trachemys scripta  subsp.troostii,English,Cumberland Slider Turtle
25,Animalia,Trachemys scripta  subsp. elegans,English,Red Ear Slider
25,Animalia,Trachemys scripta  subsp. elegans,English,Red Eared Slider Turtle
25,Animalia,"Trachemys scripta Schoepff, 1792",English,Slider
25,Animalia,Trachemys scripta subsp. scripta,English,Yellow-bellied Slider Turtle
25,Animalia,Trachemys scripta subsp. scripta,English,Yellowbelly Slider
26,Animalia,"Vespa velutina nigrithorax de Buysson, 1905",English,Asian Hornet
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,English,Alligator weed
27,Plantae,Alternanthera philoxeroides (Mart.) Griseb.,English,Pig weed
28,Plantae,Asclepias syriaca L.,English,Wild ipecac 
29,Plantae,Baccharis halimifolia L.,English,Consumption-weed
29,Plantae,Baccharis halimifolia L.,English,Eastern Baccharis
29,Plantae,Baccharis halimifolia L.,English,Sea-Myrtle
30,Plantae,Cabomba caroliniana Gray,English, Water Fanwort
30,Plantae,Cabomba caroliniana Gray,English,Cabomba
31,Plantae,Eichhornia crassipes (Martius) Solms,English,Water Hyacinth
32,Plantae,Elodea nuttallii (Planch.) H. St. John,English,Esthwaite waterweed
32,Plantae,Elodea nuttallii (Planch.) H. St. John,English,Nuttall's pondweed
32,Plantae,Elodea nuttallii (Planch.) H. St. John,English,western waterweed
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,English,Chilean gunnera
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,English,Chilean rhubarb
33,Plantae,Gunnera tinctoria (Molina) Mirbel ,English,Giant Rhubarb
34,Plantae,Heracleum mantegazzianum Sommier & Levier,English, Persian hogweed
34,Plantae,Heracleum mantegazzianum Sommier & Levier,English,Cartwheel-Flower
34,Plantae,Heracleum mantegazzianum Sommier & Levier,English,Giant Cow Parsley
34,Plantae,Heracleum mantegazzianum Sommier & Levier,English,Giant Cow Parsnip
34,Plantae,Heracleum mantegazzianum Sommier & Levier,English,Giant Hogweed
34,Plantae,Heracleum mantegazzianum Sommier & Levier,English,Mantegazzi's Cow-Parsnip
35,Plantae,Heracleum persicum Fischer,English,Hogweed
36,Plantae,Heracleum sosnowskyi Mandenova,English,Sosnowskyi's hogweed
37,Plantae,Hydrocotyle ranunculoides L. f.,English,Floating pennywort
38,Plantae,Impatiens glandulifera Royle,English,Himalayan balsam
39,Plantae,Lagarosiphon major (Ridley) Moss,English,African elodea
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,English,Large-flower Primrose-willow
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,English,Water Primrose
42,Plantae,Lysichiton americanus Hultén and St. John,English,American skunk cabbage
43,Plantae,Microstegium vimineum (Trin.) A.Camus,English,Nepalese browntop
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,English,Parrot's feather
45,Plantae,Myriophyllum heterophyllum Michx.,English,broadleaf watermilfoil
45,Plantae,Myriophyllum heterophyllum Michx.,English,Twoleaf watermilfoil
46,Plantae,Parthenium hysterophorus L.,English,Feverfew
46,Plantae,Parthenium hysterophorus L.,English,parthenium weed
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,English,fountain grass
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),English,Asiatic tearthumb
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),English,Aka
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),English,Indian kudzu
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),English,Japanese Arrowroot
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),English,Kudzu
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),English,Kudzu Bean
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),English,Kudzu Hemp
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),English,Kudzu Vine
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),English,Nepalese kudzu
