no,kingdom,eu_name,language,common_name
38,Plantae,Impatiens glandulifera Royle,Polish,Niecierpek gruczołowaty
38,Plantae,Impatiens glandulifera Royle,Polish,Niecierpek Roylego
39,Plantae,Lagarosiphon major (Ridley) Moss,Polish,Lagarosyfon wielki
40,Plantae,Ludwigia grandiflora (Michx.) Greuter & Burdet,Polish,no common name
41,Plantae,Ludwigia peploides (Kunth) P.H. Raven,Polish,no common name
42,Plantae,Lysichiton americanus Hultén and St. John,Polish,Tulejnik amerykański
43,Plantae,Microstegium vimineum (Trin.) A.Camus,Polish,no common name
44,Plantae,Myriophyllum aquaticum (Vell.) Verdc.,Polish,Wywłócznik brazylijski
45,Plantae,Myriophyllum heterophyllum Michx.,Polish,Wywłócznik różnolistny
46,Plantae,Parthenium hysterophorus L.,Polish,Partenium ambrozjowate
47,Plantae,Pennisetum setaceum (Forssk.) Chiov.,Polish,Rozplenica szczecinkowata
48,Plantae,Persicaria perfoliata (L.) H. Gross (Polygonum perfoliatum L.),Polish,no common name
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Polish,Kudzu
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Polish,Ołownik łatkowaty
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Polish,Opornik latkowaty
49,Plantae,Pueraria montana (Lour.) Merr. var. lobata (Willd.) (Pueraria lobata (Willd.) Ohwi),Polish,Opornik łatkowaty
